Mnigripes_gene_id,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens
MUSNIGG00009118,MUSNIGT00011154,TUBG1,NA,NA,tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]
MUSNIGG00009119,MUSNIGT00011155,TUBG1,NA,NA,tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]
MUSNIGG00009120,MUSNIGT00011156,FAM134C,NA,NA,NA
MUSNIGG00009121,MUSNIGT00011157,PSMC3IP,ENSMPUG00000010202,PSMC3 interacting protein [Source:HGNC Symbol;Acc:HGNC:17928],PSMC3 interacting protein [Source:HGNC Symbol;Acc:HGNC:17928]
MUSNIGG00009122,MUSNIGT00011159,MLX,ENSMPUG00000010285,MAX dimerization protein MLX [Source:HGNC Symbol;Acc:HGNC:11645],MAX dimerization protein MLX [Source:HGNC Symbol;Acc:HGNC:11645]
MUSNIGG00009123,MUSNIGT00011160,COASY,NA,NA,Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932]
MUSNIGG00009125,MUSNIGT00011162,HSD17B1,ENSMPUG00000010295,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210],hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
MUSNIGG00009126,MUSNIGT00011163,NAGLU,ENSMPUG00000010328,N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632],N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]
MUSNIGG00009127,MUSNIGT00011165,ATP6V0A1,ENSMPUG00000010349,ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865],ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]
MUSNIGG00009128,MUSNIGT00011166,PTRF,NA,NA,NA
MUSNIGG00009129,MUSNIGT00011167,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009129,MUSNIGT00011167,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009129,MUSNIGT00011167,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009129,MUSNIGT00011167,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009130,MUSNIGT00011169,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009130,MUSNIGT00011169,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009130,MUSNIGT00011169,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009130,MUSNIGT00011169,STAT3,ENSMPUG00000010509,signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364],signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]
MUSNIGG00009131,MUSNIGT00011170,STAT5A,ENSMPUG00000010517,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
MUSNIGG00009131,MUSNIGT00011170,STAT5A,ENSMPUG00000010517,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
MUSNIGG00009131,MUSNIGT00011170,STAT5A,ENSMPUG00000010517,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
MUSNIGG00009131,MUSNIGT00011170,STAT5A,ENSMPUG00000010517,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366],signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
MUSNIGG00009132,MUSNIGT00011171,STAT5B,NA,NA,signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]
MUSNIGG00009133,MUSNIGT00011172,HCRT,ENSMPUG00000010541,hypocretin neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847],hypocretin neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847]
MUSNIGG00009134,MUSNIGT00011173,KCNH4,ENSMPUG00000010546,potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253],potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253]
MUSNIGG00009135,MUSNIGT00011174,RAB5C,NA,NA,"RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]"
MUSNIGG00009136,MUSNIGT00011175,HSPB9,NA,NA,heat shock protein family B (small) member 9 [Source:HGNC Symbol;Acc:HGNC:30589]
MUSNIGG00009137,MUSNIGT00011178,KAT2A,ENSMPUG00000010560,lysine acetyltransferase 2A [Source:NCBI gene;Acc:101670315],lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]
MUSNIGG00009138,MUSNIGT00011181,,NA,NA,NA
MUSNIGG00009139,MUSNIGT00011182,NKIRAS2,ENSMPUG00000010580,NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898],NFKB inhibitor interacting Ras like 2 [Source:HGNC Symbol;Acc:HGNC:17898]
MUSNIGG00009140,MUSNIGT00011183,DNAJC7,ENSMPUG00000010601,DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392],DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]
MUSNIGG00009142,MUSNIGT00011185,CNP,ENSMPUG00000010608,"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]"
MUSNIGG00009143,MUSNIGT00011186,TTC25,NA,NA,NA
MUSNIGG00009144,MUSNIGT00011188,ACLY,ENSMPUG00000010652,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]
MUSNIGG00009145,MUSNIGT00011189,KLHL11,ENSMPUG00000010711,kelch like family member 11 [Source:HGNC Symbol;Acc:HGNC:19008],kelch like family member 11 [Source:HGNC Symbol;Acc:HGNC:19008]
MUSNIGG00009146,MUSNIGT00011190,KLHL10,ENSMPUG00000010715,kelch like family member 10 [Source:HGNC Symbol;Acc:HGNC:18829],kelch like family member 10 [Source:HGNC Symbol;Acc:HGNC:18829]
MUSNIGG00009147,MUSNIGT00011191,NT5C3L,NA,NA,NA
MUSNIGG00009148,MUSNIGT00011192,FKBP10,ENSMPUG00000010810,FKBP prolyl isomerase 10 [Source:NCBI gene;Acc:101676393],FKBP prolyl isomerase 10 [Source:HGNC Symbol;Acc:HGNC:18169]
MUSNIGG00009149,MUSNIGT00011193,LEPREL4,NA,NA,NA
MUSNIGG00009150,MUSNIGT00011195,JUP,ENSMPUG00000010872,junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207],junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]
MUSNIGG00009152,MUSNIGT00011197,HAP1,NA,NA,huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]
MUSNIGG00009154,MUSNIGT00011199,GAST,ENSMPUG00000010880,gastrin [Source:HGNC Symbol;Acc:HGNC:4164],gastrin [Source:HGNC Symbol;Acc:HGNC:4164]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009155,MUSNIGT00011200,EIF1,ENSMPUG00000010883,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249],eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
MUSNIGG00009157,MUSNIGT00011202,KRT42,NA,NA,NA
MUSNIGG00009158,MUSNIGT00011203,KRT17,NA,NA,keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]
MUSNIGG00009159,MUSNIGT00011204,KRT16,ENSMPUG00000010912,keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423],keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]
MUSNIGG00009160,MUSNIGT00011205,KRT14,ENSMPUG00000010916,keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416],keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]
MUSNIGG00009163,MUSNIGT00011208,KRT19,ENSMPUG00000010928,keratin 19 [Source:NCBI gene;Acc:101680553],keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]
MUSNIGG00009164,MUSNIGT00011209,KRT15,NA,NA,keratin 15 [Source:HGNC Symbol;Acc:HGNC:6421]
MUSNIGG00009165,MUSNIGT00011210,KRT13,NA,NA,keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]
MUSNIGG00009166,MUSNIGT00011211,KRT36,ENSMPUG00000010994,keratin 36 [Source:NCBI gene;Acc:101680855],keratin 36 [Source:HGNC Symbol;Acc:HGNC:6454]
MUSNIGG00009167,MUSNIGT00011212,KRT35,ENSMPUG00000011003,keratin 35 [Source:HGNC Symbol;Acc:HGNC:6453],keratin 35 [Source:HGNC Symbol;Acc:HGNC:6453]
MUSNIGG00009168,MUSNIGT00011213,KRT32,ENSMPUG00000011051,keratin 32 [Source:NCBI gene;Acc:101681411],keratin 32 [Source:HGNC Symbol;Acc:HGNC:6449]
MUSNIGG00009169,MUSNIGT00011214,KRT38,NA,NA,keratin 38 [Source:HGNC Symbol;Acc:HGNC:6456]
MUSNIGG00009170,MUSNIGT00011215,KRT38,NA,NA,keratin 38 [Source:HGNC Symbol;Acc:HGNC:6456]
MUSNIGG00009171,MUSNIGT00011217,GHAA,NA,NA,NA
MUSNIGG00009172,MUSNIGT00011218,KRT31,NA,NA,keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]
MUSNIGG00009173,MUSNIGT00011219,,NA,NA,NA
MUSNIGG00009174,MUSNIGT00011220,KRT33A,NA,NA,keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]
MUSNIGG00009174,MUSNIGT00011220,KRT33A,NA,NA,keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]
MUSNIGG00009178,MUSNIGT00011224,KRTAP16-1,NA,NA,keratin associated protein 16-1 [Source:HGNC Symbol;Acc:HGNC:18916]
MUSNIGG00009181,MUSNIGT00011228,,NA,NA,NA
MUSNIGG00009186,MUSNIGT00011233,ENSG00000214518,NA,NA,NA
MUSNIGG00009187,MUSNIGT00011234,KRTAP1-5,NA,NA,keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]
MUSNIGG00009188,MUSNIGT00011235,KRTAP3-1,ENSMPUG00000020082,keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778],keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]
MUSNIGG00009189,MUSNIGT00011236,KRTAP3-3,NA,NA,keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]
MUSNIGG00009190,MUSNIGT00011237,KRTAP3-3,NA,NA,keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]
MUSNIGG00009191,MUSNIGT00011238,KRT40,ENSMPUG00000014577,keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707],keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]
MUSNIGG00009193,MUSNIGT00011240,KRT40,ENSMPUG00000014577,keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707],keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]
MUSNIGG00009194,MUSNIGT00011241,KRT39,NA,NA,keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]
MUSNIGG00009197,MUSNIGT00011244,KRT23,ENSMPUG00000014621,keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438],keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]
MUSNIGG00009199,MUSNIGT00011247,KRT12,ENSMPUG00000014625,keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414],keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]
MUSNIGG00009201,MUSNIGT00011250,KRT10,ENSMPUG00000014636,keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413],keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]
MUSNIGG00009202,MUSNIGT00011252,KRT28,ENSMPUG00000014640,keratin 28 [Source:HGNC Symbol;Acc:HGNC:30842],keratin 28 [Source:HGNC Symbol;Acc:HGNC:30842]
MUSNIGG00009203,MUSNIGT00011253,KRT27,NA,NA,keratin 27 [Source:HGNC Symbol;Acc:HGNC:30841]
MUSNIGG00009205,MUSNIGT00011255,KRT26,ENSMPUG00000014642,keratin 26 [Source:NCBI gene;Acc:101679311],keratin 26 [Source:HGNC Symbol;Acc:HGNC:30840]
MUSNIGG00009206,MUSNIGT00011256,KRT25,ENSMPUG00000014651,keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839],keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839]
MUSNIGG00009207,MUSNIGT00011258,KRT24,ENSMPUG00000014653,keratin 24 [Source:NCBI gene;Acc:101679914],keratin 24 [Source:HGNC Symbol;Acc:HGNC:18527]
MUSNIGG00009209,MUSNIGT00011260,SMARCE1,NA,NA,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]"
MUSNIGG00009209,MUSNIGT00011260,SMARCE1,NA,NA,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:HGNC Symbol;Acc:HGNC:11109]"
MUSNIGG00009210,MUSNIGT00011261,CCR7,ENSMPUG00000014673,C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608],C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]
MUSNIGG00009212,MUSNIGT00011264,IGFBP4,ENSMPUG00000014678,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473],insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
MUSNIGG00009213,MUSNIGT00011265,TOP2A,ENSMPUG00000014680,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989],DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
MUSNIGG00009215,MUSNIGT00011267,RARA,ENSMPUG00000014863,retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864],retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]
MUSNIGG00009217,MUSNIGT00011269,CDC6,ENSMPUG00000014897,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744],cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]
MUSNIGG00009218,MUSNIGT00011270,RAPGEFL1,ENSMPUG00000014901,Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428],Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]
MUSNIGG00009219,MUSNIGT00011271,RAPGEFL1,ENSMPUG00000014901,Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428],Rap guanine nucleotide exchange factor like 1 [Source:HGNC Symbol;Acc:HGNC:17428]
MUSNIGG00009220,MUSNIGT00011272,CASC3,ENSMPUG00000014903,CASC3 exon junction complex subunit [Source:NCBI gene;Acc:101687179],CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]
MUSNIGG00009221,MUSNIGT00011273,MSL1,ENSMPUG00000014905,MSL complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:27905],MSL complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:27905]
MUSNIGG00009222,MUSNIGT00011274,NR1D1,ENSMPUG00000014919,nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962],nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]
MUSNIGG00009223,MUSNIGT00011275,THRA,ENSMPUG00000014923,thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796],thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]
MUSNIGG00009224,MUSNIGT00011277,MED24,ENSMPUG00000014925,mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963],mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]
MUSNIGG00009225,MUSNIGT00011278,CSF3,ENSMPUG00000014929,colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438],colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]
MUSNIGG00009226,MUSNIGT00011279,PSMD3,ENSMPUG00000014947,"proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]","proteasome 26S subunit, non-ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9560]"
MUSNIGG00009227,MUSNIGT00011281,GSDMA,ENSMPUG00000014950,gasdermin A [Source:HGNC Symbol;Acc:HGNC:13311],gasdermin A [Source:HGNC Symbol;Acc:HGNC:13311]
MUSNIGG00009228,MUSNIGT00011282,LRRC3C,NA,NA,leucine rich repeat containing 3C [Source:HGNC Symbol;Acc:HGNC:40034]
MUSNIGG00009229,MUSNIGT00011283,ORMDL3,ENSMPUG00000014965,ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038],ORMDL sphingolipid biosynthesis regulator 3 [Source:HGNC Symbol;Acc:HGNC:16038]
MUSNIGG00009231,MUSNIGT00011285,ZPBP2,ENSMPUG00000014966,zona pellucida binding protein 2 [Source:HGNC Symbol;Acc:HGNC:20678],zona pellucida binding protein 2 [Source:HGNC Symbol;Acc:HGNC:20678]
MUSNIGG00009232,MUSNIGT00011286,IKZF3,ENSMPUG00000014968,IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178],IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]
MUSNIGG00009233,MUSNIGT00011288,GRB7,ENSMPUG00000014970,growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567],growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]
MUSNIGG00009234,MUSNIGT00011289,MIEN1,ENSMPUG00000014973,migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230],migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]
MUSNIGG00009235,MUSNIGT00011290,ERBB2,ENSMPUG00000014982,erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430],erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]
MUSNIGG00009236,MUSNIGT00011291,PGAP3,ENSMPUG00000014988,post-GPI attachment to proteins phospholipase 3 [Source:HGNC Symbol;Acc:HGNC:23719],post-GPI attachment to proteins phospholipase 3 [Source:HGNC Symbol;Acc:HGNC:23719]
MUSNIGG00009237,MUSNIGT00011292,PNMT,ENSMPUG00000014989,phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160],phenylethanolamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:9160]
MUSNIGG00009238,MUSNIGT00011293,TCAP,ENSMPUG00000014991,titin-cap [Source:HGNC Symbol;Acc:HGNC:11610],titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]
MUSNIGG00009239,MUSNIGT00011294,STARD3,ENSMPUG00000014993,StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579],StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]
MUSNIGG00009240,MUSNIGT00011295,PPP1R1B,ENSMPUG00000014997,protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287],protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]
MUSNIGG00009241,MUSNIGT00011297,NEUROD2,ENSMPUG00000020084,neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763],neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763]
MUSNIGG00009244,MUSNIGT00011301,CDK12,ENSMPUG00000015009,cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224],cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]
MUSNIGG00009245,MUSNIGT00011304,MED1,NA,NA,mediator complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:9234]
MUSNIGG00009246,MUSNIGT00011306,FBXL20,ENSMPUG00000015014,F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679],F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]
MUSNIGG00009247,MUSNIGT00011308,,NA,NA,NA
MUSNIGG00009248,MUSNIGT00011309,STAC2,ENSMPUG00000015038,SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990],SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990]
MUSNIGG00009249,MUSNIGT00011310,,NA,NA,NA
MUSNIGG00009250,MUSNIGT00011311,CACNB1,ENSMPUG00000015053,calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401],calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]
MUSNIGG00009251,MUSNIGT00011312,ARL5C,NA,NA,ADP ribosylation factor like GTPase 5C [Source:HGNC Symbol;Acc:HGNC:31111]
MUSNIGG00009252,MUSNIGT00011313,PLXDC1,ENSMPUG00000015055,plexin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20945],plexin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20945]
MUSNIGG00009253,MUSNIGT00011315,FBXO47,ENSMPUG00000015058,F-box protein 47 [Source:NCBI gene;Acc:101678609],F-box protein 47 [Source:HGNC Symbol;Acc:HGNC:31969]
MUSNIGG00009255,MUSNIGT00011317,LASP1,ENSMPUG00000015061,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
MUSNIGG00009257,MUSNIGT00011319,RPL23,ENSMPUG00000015075,ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316],ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]
MUSNIGG00009258,MUSNIGT00011320,C17ORF98,NA,NA,NA
MUSNIGG00009259,MUSNIGT00011321,CWC25,ENSMPUG00000015077,CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989],CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]
MUSNIGG00009260,MUSNIGT00011322,PIP4K2B,ENSMPUG00000015079,phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998],phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]
MUSNIGG00009261,MUSNIGT00011323,PSMB3,NA,NA,proteasome 20S subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]
MUSNIGG00009262,MUSNIGT00011325,PCGF2,ENSMPUG00000015084,polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929],polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]
MUSNIGG00009263,MUSNIGT00011326,CISD3,ENSMPUG00000015129,CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578],CDGSH iron sulfur domain 3 [Source:HGNC Symbol;Acc:HGNC:27578]
MUSNIGG00009264,MUSNIGT00011327,MLLT6,ENSMPUG00000015135,"MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]","MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]"
MUSNIGG00009265,MUSNIGT00011328,C17ORF96,NA,NA,NA
MUSNIGG00009267,MUSNIGT00011333,SRCIN1,ENSMPUG00000015140,SRC kinase signaling inhibitor 1 [Source:NCBI gene;Acc:101683414],SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]
MUSNIGG00009269,MUSNIGT00011338,ARHGAP23,ENSMPUG00000015145,Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293],Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293]
MUSNIGG00009271,MUSNIGT00011340,SOCS7,ENSMPUG00000015192,suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846],suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846]
